epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
88,1855.9,0.05348,0.93407,0.99401,0.28914,0.0004258,0.0004258,0.0004258
89,1874.21,0.04342,0.94206,0.99301,0.2832,0.0004192,0.0004192,0.0004192
90,1893.98,0.03931,0.93307,0.99501,0.29361,0.0004126,0.0004126,0.0004126
91,1913.62,0.0405,0.93906,0.99501,0.27684,0.000406,0.000406,0.000406
92,1932.41,0.03787,0.94006,0.996,0.26595,0.0003994,0.0003994,0.0003994
93,1951.21,0.04287,0.93407,0.996,0.27246,0.0003928,0.0003928,0.0003928
94,1970.76,0.04056,0.93007,0.99501,0.33742,0.0003862,0.0003862,0.0003862
95,1989.14,0.03884,0.94006,0.99501,0.30219,0.0003796,0.0003796,0.0003796
96,2008,0.03837,0.93307,0.99501,0.30298,0.000373,0.000373,0.000373
97,2026.97,0.03834,0.94206,0.996,0.27148,0.0003664,0.0003664,0.0003664
98,2047.52,0.03777,0.94006,0.997,0.25948,0.0003598,0.0003598,0.0003598
99,2065.73,0.0429,0.93906,0.996,0.25468,0.0003532,0.0003532,0.0003532
100,2086.1,0.04086,0.93806,0.996,0.25279,0.0003466,0.0003466,0.0003466
101,2104.21,0.03812,0.94406,0.998,0.23651,0.00034,0.00034,0.00034
102,2122.79,0.04308,0.94006,0.998,0.24477,0.0003334,0.0003334,0.0003334
103,2141.37,0.03478,0.94306,0.996,0.25873,0.0003268,0.0003268,0.0003268
104,2160.68,0.03809,0.93706,0.997,0.26724,0.0003202,0.0003202,0.0003202
105,2178.79,0.03541,0.94705,0.996,0.24445,0.0003136,0.0003136,0.0003136
106,2199.66,0.02721,0.94006,0.996,0.2458,0.000307,0.000307,0.000307
107,2220.82,0.02971,0.94406,0.997,0.24046,0.0003004,0.0003004,0.0003004
108,2243.4,0.02614,0.95105,0.99501,0.24149,0.0002938,0.0002938,0.0002938
109,2264.73,0.0336,0.94705,0.997,0.23746,0.0002872,0.0002872,0.0002872
110,2284.83,0.02947,0.95205,0.997,0.22883,0.0002806,0.0002806,0.0002806
111,2305.42,0.03249,0.94905,0.99501,0.24127,0.000274,0.000274,0.000274
112,2327.36,0.02812,0.94905,0.99501,0.25473,0.0002674,0.0002674,0.0002674
113,2349.02,0.02859,0.94905,0.99401,0.2341,0.0002608,0.0002608,0.0002608
114,2367.34,0.02681,0.95305,0.99501,0.22069,0.0002542,0.0002542,0.0002542
115,2386.79,0.02993,0.95005,0.99501,0.21049,0.0002476,0.0002476,0.0002476
116,2405.67,0.02678,0.95405,0.99501,0.22651,0.000241,0.000241,0.000241
117,2425.22,0.0199,0.95005,0.99401,0.24733,0.0002344,0.0002344,0.0002344
118,2445.33,0.02701,0.94505,0.99401,0.25784,0.0002278,0.0002278,0.0002278
119,2465.05,0.01816,0.94605,0.99401,0.25518,0.0002212,0.0002212,0.0002212
120,2483.37,0.02463,0.94406,0.99401,0.25334,0.0002146,0.0002146,0.0002146
121,2503.06,0.0216,0.94505,0.99401,0.2607,0.000208,0.000208,0.000208
122,2521.75,0.02692,0.94805,0.99401,0.27245,0.0002014,0.0002014,0.0002014
123,2540.35,0.02214,0.94406,0.99501,0.28422,0.0001948,0.0001948,0.0001948
124,2559.51,0.01871,0.94905,0.99401,0.27387,0.0001882,0.0001882,0.0001882
125,2579.31,0.02056,0.95305,0.99401,0.27057,0.0001816,0.0001816,0.0001816
126,2597.94,0.02293,0.95005,0.99301,0.27106,0.000175,0.000175,0.000175
127,2617.04,0.01922,0.94605,0.99401,0.26154,0.0001684,0.0001684,0.0001684
128,2636.57,0.01973,0.94605,0.99501,0.25755,0.0001618,0.0001618,0.0001618
129,2655.89,0.02104,0.94505,0.99501,0.26848,0.0001552,0.0001552,0.0001552
130,2674.71,0.01601,0.94705,0.99501,0.26579,0.0001486,0.0001486,0.0001486
131,2694.53,0.01765,0.94805,0.99501,0.26125,0.000142,0.000142,0.000142
132,2717.38,0.01847,0.94805,0.99501,0.26009,0.0001354,0.0001354,0.0001354
133,2737.91,0.01561,0.94805,0.99501,0.2681,0.0001288,0.0001288,0.0001288
134,2759.63,0.0152,0.94705,0.99501,0.2643,0.0001222,0.0001222,0.0001222
135,2783.58,0.01486,0.94805,0.99501,0.26445,0.0001156,0.0001156,0.0001156
136,2804.45,0.01827,0.94805,0.996,0.25932,0.000109,0.000109,0.000109
137,2826.65,0.01303,0.95005,0.996,0.25932,0.0001024,0.0001024,0.0001024
138,2849.93,0.01382,0.95205,0.996,0.26259,9.58e-05,9.58e-05,9.58e-05
139,2869.39,0.01386,0.95005,0.996,0.25994,8.92e-05,8.92e-05,8.92e-05
140,2888.1,0.01243,0.95105,0.996,0.25465,8.26e-05,8.26e-05,8.26e-05
141,2938.58,0.01296,0.95105,0.996,0.2538,7.6e-05,7.6e-05,7.6e-05
142,2959.44,0.016,0.95105,0.996,0.25394,6.94e-05,6.94e-05,6.94e-05
143,2980.07,0.01463,0.95305,0.996,0.257,6.28e-05,6.28e-05,6.28e-05
144,3001,0.01175,0.95205,0.996,0.25061,5.62e-05,5.62e-05,5.62e-05
145,3021.55,0.01063,0.95305,0.996,0.24918,4.96e-05,4.96e-05,4.96e-05
146,3041.29,0.01415,0.95305,0.996,0.25148,4.3e-05,4.3e-05,4.3e-05
147,3061.54,0.01174,0.95405,0.996,0.25187,3.64e-05,3.64e-05,3.64e-05
148,3084.29,0.01366,0.95504,0.996,0.24889,2.98e-05,2.98e-05,2.98e-05
149,3109.18,0.01136,0.95504,0.996,0.25372,2.32e-05,2.32e-05,2.32e-05
150,3131.71,0.01022,0.95405,0.996,0.24943,1.66e-05,1.66e-05,1.66e-05
